id,districtCode,provinceCode,nameTh,nameEn
1001,1001,1,เขตพระนคร,Khet Phra Nakhon
1002,1002,1,เขตดุสิต,Khet Dusit
1003,1003,1,เขตหนองจอก,Khet Nong Chok
1004,1004,1,เขตบางรัก,Khet Bang Rak
1005,1005,1,เขตบางเขน,Khet Bang Khen
1006,1006,1,เขตบางกะปิ,Khet Bang Kapi
1007,1007,1,เขตปทุมวัน,Khet Pathum Wan
1008,1008,1,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai
1009,1009,1,เขตพระโขนง,Khet Phra Khanong
1010,1010,1,เขตมีนบุรี,Khet Min Buri
1011,1011,1,เขตลาดกระบัง,Khet Lat Krabang
1012,1012,1,เขตยานนาวา,Khet Yan Nawa
1013,1013,1,เขตสัมพันธวงศ์,Khet Samphanthawong
1014,1014,1,เขตพญาไท,Khet Phaya Thai
1015,1015,1,เขตธนบุรี,Khet Thon Buri
1016,1016,1,เขตบางกอกใหญ่,Khet Bangkok Yai
1017,1017,1,เขตห้วยขวาง,Khet Huai Khwang
1018,1018,1,เขตคลองสาน,Khet Khlong San
1019,1019,1,เขตตลิ่งชัน,Khet Taling Chan
1020,1020,1,เขตบางกอกน้อย,Khet Bangkok Noi
1021,1021,1,เขตบางขุนเทียน,Khet Bang Khun Thian
1022,1022,1,เขตภาษีเจริญ,Khet Phasi Charoen
1023,1023,1,เขตหนองแขม,Khet Nong Khaem
1024,1024,1,เขตราษฎร์บูรณะ,Khet Rat Burana
1025,1025,1,เขตบางพลัด,Khet Bang Phlat
1026,1026,1,เขตดินแดง,Khet Din Daeng
1027,1027,1,เขตบึงกุ่ม,Khet Bueng Kum
1028,1028,1,เขตสาทร,Khet Sathon
1029,1029,1,เขตบางซื่อ,Khet Bang Sue
1030,1030,1,เขตจตุจักร,Khet Chatuchak
1031,1031,1,เขตบางคอแหลม,Khet Bang Kho Laem
1032,1032,1,เขตประเวศ,Khet Prawet
1033,1033,1,เขตคลองเตย,Khet Khlong Toei
1034,1034,1,เขตสวนหลวง,Khet Suan Luang
1035,1035,1,เขตจอมทอง,Khet Chom Thong
1036,1036,1,เขตดอนเมือง,Khet Don Mueang
1037,1037,1,เขตราชเทวี,Khet Ratchathewi
1038,1038,1,เขตลาดพร้าว,Khet Lat Phrao
1039,1039,1,เขตวัฒนา,Khet Watthana
1040,1040,1,เขตบางแค,Khet Bang Khae
