id,provinceCode,nameTh,nameEn
1,1,กรุงเทพมหานคร,Bangkok
2,2,สมุทรปราการ,Samut Prakan
3,3,นนทบุรี,Nonthaburi
4,4,ปทุมธานี,Pathum Thani
5,5,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
6,6,อ่างทอง,Ang Thong
7,7,ลพบุรี,Lopburi
8,8,สิงห์บุรี,Sing Buri
9,9,ชัยนาท,Chai Nat
10,10,สระบุรี,Saraburi
11,11,ชลบุรี,Chon Buri
12,12,ระยอง,Rayong
13,13,จันทบุรี,Chanthaburi
14,14,ตราด,Trat
15,15,ฉะเชิงเทรา,Chachoengsao
16,16,ปราจีนบุรี,Prachin Buri
17,17,นครนายก,Nakhon Nayok
18,18,สระแก้ว,Sa Kaeo
19,19,นครราชสีมา,Nakhon Ratchasima
20,20,บุรีรัมย์,Buri Ram
21,21,สุรินทร์,Surin
22,22,ศรีสะเกษ,Si Sa Ket
23,23,อุบลราชธานี,Ubon Ratchathani
24,24,ยโสธร,Yasothon
25,25,ชัยภูมิ,Chaiyaphum
26,26,อำนาจเจริญ,Amnat Charoen
27,27,หนองบัวลำภู,Nong Bua Lam Phu
28,28,ขอนแก่น,Khon Kaen
29,29,อุดรธานี,Udon Thani
30,30,เลย,Loei
31,31,หนองคาย,Nong Khai
32,32,มหาสารคาม,Maha Sarakham
33,33,ร้อยเอ็ด,Roi Et
34,34,กาฬสินธุ์,Kalasin
35,35,สกลนคร,Sakon Nakhon
36,36,นครพนม,Nakhon Phanom
37,37,มุกดาหาร,Mukdahan
38,38,เชียงใหม่,Chiang Mai
39,39,ลำพูน,Lamphun
40,40,ลำปาง,Lampang
41,41,อุตรดิตถ์,Uttaradit
42,42,แพร่,Phrae
43,43,น่าน,Nan
44,44,พะเยา,Phayao
45,45,เชียงราย,Chiang Rai
46,46,แม่ฮ่องสอน,Mae Hong Son
47,47,นครสวรรค์,Nakhon Sawan
48,48,อุทัยธานี,Uthai Thani
49,49,กำแพงเพชร,Kamphaeng Phet
50,50,ตาก,Tak
51,51,สุโขทัย,Sukhothai
52,52,พิษณุโลก,Phitsanulok
53,53,พิจิตร,Phichit
54,54,เพชรบูรณ์,Phetchabun
55,55,ราชบุรี,Ratchaburi
56,56,กาญจนบุรี,Kanchanaburi
57,57,สุพรรณบุรี,Suphan Buri
58,58,นครปฐม,Nakhon Pathom
59,59,สมุทรสาคร,Samut Sakhon
60,60,สมุทรสงคราม,Samut Songkhram
61,61,เพชรบุรี,Phetchaburi
62,62,ประจวบคีรีขันธ์,Prachuap Khiri Khan
63,63,นครศรีธรรมราช,Nakhon Si Thammarat
64,64,กระบี่,Krabi
65,65,พังงา,Phangnga
66,66,ภูเก็ต,Phuket
67,67,สุราษฎร์ธานี,Surat Thani
68,68,ระนอง,Ranong
69,69,ชุมพร,Chumphon
70,70,สงขลา,Songkhla
71,71,สตูล,Satun
72,72,ตรัง,Trang
73,73,พัทลุง,Phatthalung
74,74,ปัตตานี,Pattani
75,75,ยะลา,Yala
76,76,นราธิวาส,Narathiwat
77,77,บึงกาฬ,Bueng Kan
